task,group,n_evaluated,correct,incorrect,wrong_format,accuracy,n_modality,image,text,neither,image_pct,text_pct,neither_pct
node_degree,133-136,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
node_degree,153-156,3,0,3,0,0.0,3,3,0,0,100.0,0.0,0.0
shortest_path,0-4,3,2,1,0,0.666667,3,1,2,0,33.33,66.67,0.0
shortest_path,5-8,27,5,22,0,0.185185,27,20,5,2,74.07,18.52,7.41
shortest_path,9-12,23,4,19,0,0.173913,23,13,4,6,56.52,17.39,26.09
shortest_path,13-16,14,6,8,0,0.428571,14,6,6,2,42.86,42.86,14.29
shortest_path,17-20,8,1,7,0,0.125,8,6,1,1,75.0,12.5,12.5
shortest_path,21-24,2,1,1,0,0.5,2,0,1,1,0.0,50.0,50.0
shortest_path,25-28,2,1,1,0,0.5,2,1,1,0,50.0,50.0,0.0
shortest_path,29-32,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
shortest_path,33-36,1,0,1,0,0.0,1,0,0,1,0.0,0.0,100.0
shortest_path,37-40,1,1,0,0,1.0,1,0,1,0,0.0,100.0,0.0
shortest_path,45-48,2,1,1,0,0.5,2,0,1,1,0.0,50.0,50.0
shortest_path,65-68,1,1,0,0,1.0,1,0,1,0,0.0,100.0,0.0
shortest_path,77-80,3,1,2,0,0.333333,3,2,1,0,66.67,33.33,0.0
shortest_path,133-136,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
shortest_path,153-156,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
ALL,0-4,22,5,17,0,0.227273,22,16,5,1,72.73,22.73,4.55
ALL,5-8,188,56,132,0,0.297872,188,121,56,11,64.36,29.79,5.85
ALL,9-12,183,49,134,0,0.26776,183,120,49,14,65.57,26.78,7.65
ALL,13-16,124,36,88,0,0.290323,124,81,36,7,65.32,29.03,5.65
ALL,17-20,60,16,44,0,0.266667,60,41,16,3,68.33,26.67,5.0
ALL,21-24,46,11,35,0,0.23913,46,32,11,3,69.57,23.91,6.52
ALL,25-28,33,6,27,0,0.181818,33,25,6,2,75.76,18.18,6.06
ALL,29-32,21,5,16,0,0.238095,21,15,5,1,71.43,23.81,4.76
ALL,33-36,22,4,18,0,0.181818,22,16,4,2,72.73,18.18,9.09
ALL,37-40,7,2,5,0,0.285714,7,5,2,0,71.43,28.57,0.0
ALL,41-44,4,2,2,0,0.5,4,2,2,0,50.0,50.0,0.0
ALL,45-48,23,5,18,0,0.217391,23,16,5,2,69.57,21.74,8.7
ALL,49-52,10,2,8,0,0.2,10,8,2,0,80.0,20.0,0.0
ALL,53-56,13,2,11,0,0.153846,13,10,2,1,76.92,15.38,7.69
ALL,57-60,7,0,7,0,0.0,7,7,0,0,100.0,0.0,0.0
ALL,61-64,5,2,3,0,0.4,5,3,2,0,60.0,40.0,0.0
ALL,65-68,19,1,18,0,0.052632,19,14,1,4,73.68,5.26,21.05
ALL,69-72,6,1,5,0,0.166667,6,4,1,1,66.67,16.67,16.67
ALL,73-76,3,0,3,0,0.0,3,3,0,0,100.0,0.0,0.0
ALL,77-80,21,3,18,0,0.142857,21,17,3,1,80.95,14.29,4.76
ALL,89-92,11,0,11,0,0.0,11,9,0,2,81.82,0.0,18.18
ALL,97-100,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
ALL,101-104,4,0,4,0,0.0,4,4,0,0,100.0,0.0,0.0
ALL,105-108,7,1,6,0,0.142857,7,5,1,1,71.43,14.29,14.29
ALL,117-120,11,0,11,0,0.0,11,10,0,1,90.91,0.0,9.09
ALL,125-128,3,0,3,0,0.0,3,2,0,1,66.67,0.0,33.33
ALL,133-136,8,2,6,0,0.25,8,6,2,0,75.0,25.0,0.0
ALL,153-156,14,1,13,0,0.071429,14,13,1,0,92.86,7.14,0.0
